# HJD              Flux       Noise    
  2454280.789921   0.993304   5.58E-4  
  2454280.790238   0.99226    5.58E-4  
  2454280.790555   0.992498   5.58E-4  
  2454280.790874   0.992035   5.58E-4  
  2454280.791192   0.994061   5.58E-4  
  2454280.791509   0.992798   5.58E-4  
  2454280.791824   0.99272    5.58E-4  
  2454280.792141   0.994049   5.58E-4  
  2454280.792459   0.99379    5.58E-4  
  2454280.792778   0.992897   5.58E-4  
  2454280.793092   0.992761   5.58E-4  
  2454280.793409   0.9926     5.58E-4  
  2454280.793727   0.994461   5.58E-4  
  2454280.794044   0.993757   5.58E-4  
  2454280.794363   0.993751   5.58E-4  
  2454280.794677   0.994698   5.58E-4  
  2454280.794995   0.994476   5.58E-4  
  2454280.795312   0.995217   5.58E-4  
  2454280.79563    0.99609    5.57E-4  
  2454280.795948   0.994431   5.58E-4  
  2454280.796265   0.996301   5.57E-4  
  2454280.79658    0.995654   5.57E-4  
  2454280.796897   0.996207   5.57E-4  
  2454280.797215   0.995549   5.57E-4  
  2454280.797533   0.997462   5.57E-4  
  2454280.797851   0.99728    5.57E-4  
  2454280.798165   0.996875   5.57E-4  
  2454280.798483   0.99764    5.57E-4  
  2454280.798801   0.997504   5.57E-4  
  2454280.799118   0.99753    5.57E-4  
  2454280.799436   0.997239   5.57E-4  
  2454280.799751   0.999235   5.56E-4  
  2454280.800069   0.999404   5.56E-4  
  2454280.800387   0.999616   5.56E-4  
  2454280.800705   0.999486   5.56E-4  
  2454280.801019   0.999579   5.56E-4  
  2454280.801337   0.999197   5.56E-4  
  2454280.801972   1.000475   5.56E-4  
  2454280.80229    0.999523   5.56E-4  
  2454280.802605   0.998672   5.57E-4  
  2454280.803239   0.999888   5.56E-4  
  2454280.803557   0.999515   5.56E-4  
  2454280.803875   1.000709   5.56E-4  
  2454280.804193   0.999703   5.56E-4  
  2454280.804508   1.000288   5.56E-4  
  2454280.804825   0.999446   5.56E-4  
  2454280.805143   1.000247   5.56E-4  
  2454280.805461   1.00012    5.56E-4  
  2454280.805779   0.999957   5.56E-4  
  2454280.806093   1.000015   5.56E-4  
  2454280.806411   1.000073   5.56E-4  
  2454280.806728   0.999797   5.56E-4  
  2454280.807047   0.999349   5.56E-4  
  2454280.807362   1.000746   5.56E-4  
  2454280.807679   0.999463   5.56E-4  
  2454280.807996   0.999927   5.56E-4  
  2454280.808314   0.999354   5.56E-4  
  2454280.808633   1.0012     5.56E-4  
  2454280.808947   0.999911   5.56E-4  
  2454280.809264   0.999965   5.56E-4  
  2454280.809582   1.000844   5.56E-4  
  2454280.809899   1.000343   5.56E-4  
  2454280.810218   0.999809   5.56E-4  
  2454280.81085    1.000115   5.56E-4  
  2454280.811167   0.999493   5.56E-4  
  2454280.811484   1.000128   5.56E-4  
  2454280.811802   1.000163   5.56E-4  
  2454280.81212    1.000629   5.56E-4  
  2454280.812438   1.000234   5.56E-4  
  2454280.812752   0.999375   5.56E-4  
  2454280.81307    1.00022    5.56E-4  
  2454280.813387   1.000156   5.56E-4  
  2454280.813705   0.999671   5.56E-4  
  2454280.814024   0.999343   5.56E-4  
  2454280.814338   0.998585   5.57E-4  
  2454280.814656   1.000735   5.56E-4  
  2454280.814974   0.999442   5.56E-4  
  2454280.815292   1.000849   5.56E-4  
  2454280.815606   0.999472   5.56E-4  
  2454280.815924   1.000944   5.56E-4  
  2454280.816241   1.000497   5.56E-4  
  2454280.81656    1.000632   5.56E-4  
  2454280.816875   0.999517   5.56E-4  
  2454280.817192   0.999626   5.56E-4  
  2454280.817509   0.99949    5.56E-4  
  2454280.817827   0.999666   5.56E-4  
  2454280.818145   0.999146   5.56E-4  
  2454280.818462   0.999613   5.56E-4  
  2454280.818777   0.999654   5.56E-4  
  2454280.819094   0.999714   5.56E-4  
  2454280.819412   0.999999   5.56E-4  
  2454280.81973    0.999732   5.56E-4  
  2454280.820047   0.999411   5.56E-4  
  2454280.82068    1.000427   5.56E-4  
  2454280.820998   0.999808   5.56E-4  
  2454280.821315   0.999801   5.56E-4  
  2454280.821633   0.999493   5.56E-4  
  2454280.821948   0.999914   5.56E-4  
  2454280.822265   1.000587   5.56E-4  
  2454280.822583   1.001571   5.56E-4  
  2454280.822901   1.000822   5.56E-4  
  2454280.823219   1.000448   5.56E-4  
  2454280.823534   1.000623   5.56E-4  
  2454280.823851   1.000149   5.56E-4  
  2454280.824487   0.999687   5.56E-4  
  2454280.824802   0.999672   5.56E-4  
  2454280.825119   0.998712   5.57E-4  
  2454280.825754   1.00034    5.56E-4  
  2454280.826073   1.00013    5.56E-4  
  2454280.826387   1.001173   5.56E-4  

